transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail
34,2023-01-01,08:18:13,1,5,Lower Manhattan,1,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm
35,2023-01-01,07:11:04,1,8,Hell's Kitchen,10,2.50,Tea,Brewed Green tea,Serenity Green Tea Rg
35,2023-01-01,07:11:04,2,8,Hell's Kitchen,3,3.75,Coffee,Espresso,Cappuccino
36,2023-01-01,12:02:39,1,3,Astoria,10,2.50,Tea,Brewed Green tea,Serenity Green Tea Rg
37,2023-01-01,18:13:42,1,5,Lower Manhattan,3,3.75,Coffee,Espresso,Cappuccino
37,2023-01-01,18:13:42,1,5,Lower Manhattan,5,2.50,Coffee,Espresso,Espresso Shot
38,2023-01-01,18:59:04,1,5,Lower Manhattan,9,3.00,Tea,Brewed herbal tea,Peppermint Lg
39,2023-01-01,07:13:32,2,3,Astoria,17,45.00,Coffee beans,Premium Beans,Civet Cat
40,2023-01-01,09:10:28,3,3,Astoria,11,3.50,Bakery,Scone,Oatmeal Scone
40,2023-01-01,09:10:28,1,3,Astoria,9,3.00,Tea,Brewed herbal tea,Peppermint Lg
41,2023-01-02,13:35:19,2,3,Astoria,2,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg
41,2023-01-02,13:35:19,1,3,Astoria,14,4.25,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
41,2023-01-02,13:35:19,1,3,Astoria,3,3.75,Coffee,Espresso,Cappuccino
42,2023-01-02,12:45:21,1,5,Lower Manhattan,9,3.00,Tea,Brewed herbal tea,Peppermint Lg
43,2023-01-02,08:58:54,2,5,Lower Manhattan,9,3.00,Tea,Brewed herbal tea,Peppermint Lg
44,2023-01-02,06:49:08,1,3,Astoria,3,3.75,Coffee,Espresso,Cappuccino
44,2023-01-02,06:49:08,1,3,Astoria,12,3.75,Bakery,Pastry,Croissant
45,2023-01-02,07:56:44,1,3,Astoria,8,3.00,Tea,Brewed Black tea,English Breakfast Rg
45,2023-01-02,07:56:44,1,3,Astoria,14,4.25,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
45,2023-01-02,07:56:44,2,3,Astoria,2,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg
46,2023-01-02,17:13:43,1,3,Astoria,2,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg
47,2023-01-02,19:47:09,1,5,Lower Manhattan,3,3.75,Coffee,Espresso,Cappuccino
47,2023-01-02,19:47:09,1,5,Lower Manhattan,2,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg
47,2023-01-02,19:47:09,1,5,Lower Manhattan,13,2.50,Bakery,Biscotti,Ginger Biscotti
48,2023-01-02,15:26:51,1,5,Lower Manhattan,11,3.50,Bakery,Scone,Oatmeal Scone
48,2023-01-02,15:26:51,1,5,Lower Manhattan,3,3.75,Coffee,Espresso,Cappuccino
49,2023-01-02,17:54:30,1,5,Lower Manhattan,13,2.50,Bakery,Biscotti,Ginger Biscotti
50,2023-01-02,16:55:14,1,5,Lower Manhattan,10,2.50,Tea,Brewed Green tea,Serenity Green Tea Rg
51,2023-01-02,17:49:17,1,5,Lower Manhattan,7,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
52,2023-01-02,09:01:07,1,8,Hell's Kitchen,3,3.75,Coffee,Espresso,Cappuccino
52,2023-01-02,09:01:07,1,8,Hell's Kitchen,8,3.00,Tea,Brewed Black tea,English Breakfast Rg
52,2023-01-02,09:01:07,1,8,Hell's Kitchen,20,0.80,Flavours,Regular syrup,Vanilla syrup
53,2023-01-02,10:32:07,1,5,Lower Manhattan,8,3.00,Tea,Brewed Black tea,English Breakfast Rg
54,2023-01-02,10:33:59,1,8,Hell's Kitchen,11,3.50,Bakery,Scone,Oatmeal Scone
54,2023-01-02,10:33:59,1,8,Hell's Kitchen,18,14.00,Branded,Clothing,Coffee Roastery Mug
55,2023-01-02,07:42:58,2,5,Lower Manhattan,4,4.50,Coffee,Espresso,Latte
56,2023-01-02,17:32:19,1,8,Hell's Kitchen,4,4.50,Coffee,Espresso,Latte
56,2023-01-02,17:32:19,1,8,Hell's Kitchen,11,3.50,Bakery,Scone,Oatmeal Scone
57,2023-01-02,18:43:47,1,8,Hell's Kitchen,9,3.00,Tea,Brewed herbal tea,Peppermint Lg
57,2023-01-02,18:43:47,1,8,Hell's Kitchen,4,4.50,Coffee,Espresso,Latte
57,2023-01-02,18:43:47,1,8,Hell's Kitchen,8,3.00,Tea,Brewed Black tea,English Breakfast Rg
58,2023-01-02,12:20:29,1,8,Hell's Kitchen,10,2.50,Tea,Brewed Green tea,Serenity Green Tea Rg
59,2023-01-02,08:05:18,1,8,Hell's Kitchen,9,3.00,Tea,Brewed herbal tea,Peppermint Lg
60,2023-01-02,13:14:51,1,3,Astoria,1,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm
61,2023-01-02,12:49:04,1,5,Lower Manhattan,15,3.50,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Sm
62,2023-01-02,13:31:25,1,8,Hell's Kitchen,10,2.50,Tea,Brewed Green tea,Serenity Green Tea Rg
63,2023-01-02,15:14:11,1,3,Astoria,11,3.50,Bakery,Scone,Oatmeal Scone
63,2023-01-02,15:14:11,2,3,Astoria,6,3.50,Coffee,Gourmet brewed coffee,Ethiopia Rg
64,2023-01-02,10:51:29,2,3,Astoria,20,0.80,Flavours,Regular syrup,Vanilla syrup
64,2023-01-02,10:51:29,2,3,Astoria,8,3.00,Tea,Brewed Black tea,English Breakfast Rg
65,2023-01-02,16:57:32,1,8,Hell's Kitchen,15,3.50,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Sm
66,2023-01-02,14:30:28,1,3,Astoria,3,3.75,Coffee,Espresso,Cappuccino
67,2023-01-02,11:15:17,1,8,Hell's Kitchen,11,3.50,Bakery,Scone,Oatmeal Scone
68,2023-01-02,09:34:05,1,5,Lower Manhattan,3,3.75,Coffee,Espresso,Cappuccino
69,2023-01-02,08:26:26,1,8,Hell's Kitchen,6,3.50,Coffee,Gourmet brewed coffee,Ethiopia Rg
70,2023-01-02,10:49:37,1,5,Lower Manhattan,1,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm
70,2023-01-02,10:49:37,2,5,Lower Manhattan,15,3.50,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Sm
70,2023-01-02,10:49:37,1,5,Lower Manhattan,8,3.00,Tea,Brewed Black tea,English Breakfast Rg
71,2023-01-02,16:53:26,1,5,Lower Manhattan,11,3.50,Bakery,Scone,Oatmeal Scone
72,2023-01-02,11:17:27,1,3,Astoria,5,2.50,Coffee,Espresso,Espresso Shot
73,2023-01-02,14:53:29,1,5,Lower Manhattan,20,0.80,Flavours,Regular syrup,Vanilla syrup
73,2023-01-02,14:53:29,1,5,Lower Manhattan,7,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
73,2023-01-02,14:53:29,1,5,Lower Manhattan,15,3.50,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Sm
74,2023-01-02,08:29:11,1,5,Lower Manhattan,4,4.50,Coffee,Espresso,Latte
75,2023-01-02,09:56:24,1,5,Lower Manhattan,19,10.00,Loose Tea,Black tea,Earl Grey Rg
76,2023-01-02,10:47:34,1,3,Astoria,19,10.00,Loose Tea,Black tea,Earl Grey Rg
77,2023-01-02,15:41:02,1,3,Astoria,19,10.00,Loose Tea,Black tea,Earl Grey Rg
77,2023-01-02,15:41:02,1,3,Astoria,3,3.75,Coffee,Espresso,Cappuccino
78,2023-01-02,10:07:36,1,3,Astoria,6,3.50,Coffee,Gourmet brewed coffee,Ethiopia Rg
78,2023-01-02,10:07:36,2,3,Astoria,3,3.75,Coffee,Espresso,Cappuccino
78,2023-01-02,10:07:36,1,3,Astoria,4,4.50,Coffee,Espresso,Latte
79,2023-01-02,19:06:37,1,3,Astoria,4,4.50,Coffee,Espresso,Latte
80,2023-01-02,10:45:12,1,5,Lower Manhattan,11,3.50,Bakery,Scone,Oatmeal Scone
81,2023-01-03,12:07:50,1,8,Hell's Kitchen,12,3.75,Bakery,Pastry,Croissant
81,2023-01-03,12:07:50,2,8,Hell's Kitchen,4,4.50,Coffee,Espresso,Latte
81,2023-01-03,12:07:50,2,8,Hell's Kitchen,5,2.50,Coffee,Espresso,Espresso Shot
81,2023-01-03,12:07:50,1,8,Hell's Kitchen,7,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
82,2023-01-03,12:53:29,2,5,Lower Manhattan,6,3.50,Coffee,Gourmet brewed coffee,Ethiopia Rg
82,2023-01-03,12:53:29,1,5,Lower Manhattan,11,3.50,Bakery,Scone,Oatmeal Scone
83,2023-01-03,15:29:27,1,8,Hell's Kitchen,8,3.00,Tea,Brewed Black tea,English Breakfast Rg
83,2023-01-03,15:29:27,2,8,Hell's Kitchen,4,4.50,Coffee,Espresso,Latte
84,2023-01-03,17:15:48,1,5,Lower Manhattan,9,3.00,Tea,Brewed herbal tea,Peppermint Lg
85,2023-01-03,11:20:11,1,3,Astoria,4,4.50,Coffee,Espresso,Latte
86,2023-01-03,17:44:56,2,5,Lower Manhattan,1,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm
87,2023-01-03,08:26:31,1,3,Astoria,3,3.75,Coffee,Espresso,Cappuccino
87,2023-01-03,08:26:31,1,3,Astoria,7,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
88,2023-01-03,07:14:25,1,3,Astoria,4,4.50,Coffee,Espresso,Latte
88,2023-01-03,07:14:25,1,3,Astoria,8,3.00,Tea,Brewed Black tea,English Breakfast Rg
89,2023-01-03,20:35:21,1,5,Lower Manhattan,6,3.50,Coffee,Gourmet brewed coffee,Ethiopia Rg
90,2023-01-03,07:12:20,1,3,Astoria,7,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
91,2023-01-03,08:47:30,1,3,Astoria,8,3.00,Tea,Brewed Black tea,English Breakfast Rg
92,2023-01-03,09:06:53,1,8,Hell's Kitchen,3,3.75,Coffee,Espresso,Cappuccino
93,2023-01-03,14:08:17,1,3,Astoria,1,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm
94,2023-01-03,13:48:31,1,3,Astoria,1,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm
95,2023-01-03,10:11:03,1,5,Lower Manhattan,14,4.25,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
96,2023-01-03,10:04:36,1,3,Astoria,1,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm
96,2023-01-03,10:04:36,1,3,Astoria,2,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg
97,2023-01-03,07:48:26,1,3,Astoria,12,3.75,Bakery,Pastry,Croissant
97,2023-01-03,07:48:26,1,3,Astoria,3,3.75,Coffee,Espresso,Cappuccino
98,2023-01-03,09:37:27,1,5,Lower Manhattan,9,3.00,Tea,Brewed herbal tea,Peppermint Lg
99,2023-01-03,07:48:13,1,8,Hell's Kitchen,3,3.75,Coffee,Espresso,Cappuccino
99,2023-01-03,07:48:13,1,8,Hell's Kitchen,1,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm
100,2023-01-03,06:28:44,1,3,Astoria,4,4.50,Coffee,Espresso,Latte
100,2023-01-03,06:28:44,1,3,Astoria,3,3.75,Coffee,Espresso,Cappuccino
101,2023-01-03,07:14:59,1,5,Lower Manhattan,12,3.75,Bakery,Pastry,Croissant
102,2023-01-03,10:34:14,1,3,Astoria,15,3.50,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Sm
102,2023-01-03,10:34:14,1,3,Astoria,13,2.50,Bakery,Biscotti,Ginger Biscotti
103,2023-01-03,12:52:36,1,5,Lower Manhattan,6,3.50,Coffee,Gourmet brewed coffee,Ethiopia Rg
103,2023-01-03,12:52:36,1,5,Lower Manhattan,4,4.50,Coffee,Espresso,Latte
103,2023-01-03,12:52:36,1,5,Lower Manhattan,5,2.50,Coffee,Espresso,Espresso Shot
104,2023-01-03,07:27:47,1,8,Hell's Kitchen,3,3.75,Coffee,Espresso,Cappuccino
105,2023-01-03,16:36:37,1,8,Hell's Kitchen,20,0.80,Flavours,Regular syrup,Vanilla syrup
105,2023-01-03,16:36:37,1,8,Hell's Kitchen,10,2.50,Tea,Brewed Green tea,Serenity Green Tea Rg
105,2023-01-03,16:36:37,1,8,Hell's Kitchen,3,3.75,Coffee,Espresso,Cappuccino
106,2023-01-03,10:17:11,1,8,Hell's Kitchen,6,3.50,Coffee,Gourmet brewed coffee,Ethiopia Rg
106,2023-01-03,10:17:11,1,8,Hell's Kitchen,13,2.50,Bakery,Biscotti,Ginger Biscotti
106,2023-01-03,10:17:11,1,8,Hell's Kitchen,19,10.00,Loose Tea,Black tea,Earl Grey Rg
106,2023-01-03,10:17:11,1,8,Hell's Kitchen,5,2.50,Coffee,Espresso,Espresso Shot
107,2023-01-03,09:25:52,1,5,Lower Manhattan,1,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm
107,2023-01-03,09:25:52,1,5,Lower Manhattan,3,3.75,Coffee,Espresso,Cappuccino
108,2023-01-03,16:00:42,1,8,Hell's Kitchen,6,3.50,Coffee,Gourmet brewed coffee,Ethiopia Rg
108,2023-01-03,16:00:42,1,8,Hell's Kitchen,1,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm
108,2023-01-03,16:00:42,1,8,Hell's Kitchen,7,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
109,2023-01-03,08:35:08,3,3,Astoria,6,3.50,Coffee,Gourmet brewed coffee,Ethiopia Rg
109,2023-01-03,08:35:08,1,3,Astoria,11,3.50,Bakery,Scone,Oatmeal Scone
109,2023-01-03,08:35:08,1,3,Astoria,2,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg
110,2023-01-03,09:00:35,2,3,Astoria,3,3.75,Coffee,Espresso,Cappuccino
111,2023-01-03,10:07:41,1,3,Astoria,7,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
111,2023-01-03,10:07:41,1,3,Astoria,11,3.50,Bakery,Scone,Oatmeal Scone
112,2023-01-03,20:15:29,1,5,Lower Manhattan,4,4.50,Coffee,Espresso,Latte
112,2023-01-03,20:15:29,2,5,Lower Manhattan,16,22.00,Coffee beans,Organic Beans,Brazilian Lg
113,2023-01-03,09:50:54,1,3,Astoria,17,45.00,Coffee beans,Premium Beans,Civet Cat
114,2023-01-03,09:19:53,1,3,Astoria,20,0.80,Flavours,Regular syrup,Vanilla syrup
114,2023-01-03,09:19:53,1,3,Astoria,7,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
115,2023-01-03,09:48:34,2,5,Lower Manhattan,17,45.00,Coffee beans,Premium Beans,Civet Cat
116,2023-01-03,08:24:14,2,8,Hell's Kitchen,5,2.50,Coffee,Espresso,Espresso Shot
116,2023-01-03,08:24:14,1,8,Hell's Kitchen,4,4.50,Coffee,Espresso,Latte
116,2023-01-03,08:24:14,3,8,Hell's Kitchen,6,3.50,Coffee,Gourmet brewed coffee,Ethiopia Rg
117,2023-01-03,20:31:02,1,8,Hell's Kitchen,19,10.00,Loose Tea,Black tea,Earl Grey Rg
118,2023-01-03,17:28:06,1,3,Astoria,6,3.50,Coffee,Gourmet brewed coffee,Ethiopia Rg
119,2023-01-03,17:09:04,1,5,Lower Manhattan,19,10.00,Loose Tea,Black tea,Earl Grey Rg
120,2023-01-03,10:05:54,1,8,Hell's Kitchen,10,2.50,Tea,Brewed Green tea,Serenity Green Tea Rg
121,2023-01-03,12:56:48,1,5,Lower Manhattan,7,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
122,2023-01-03,12:58:18,2,3,Astoria,12,3.75,Bakery,Pastry,Croissant
122,2023-01-03,12:58:18,1,3,Astoria,5,2.50,Coffee,Espresso,Espresso Shot
122,2023-01-03,12:58:18,1,3,Astoria,2,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg
122,2023-01-03,12:58:18,2,3,Astoria,9,3.00,Tea,Brewed herbal tea,Peppermint Lg
123,2023-01-03,09:03:18,1,3,Astoria,5,2.50,Coffee,Espresso,Espresso Shot
124,2023-01-03,12:50:11,2,5,Lower Manhattan,1,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm
125,2023-01-03,13:31:58,1,8,Hell's Kitchen,3,3.75,Coffee,Espresso,Cappuccino
125,2023-01-03,13:31:58,1,8,Hell's Kitchen,10,2.50,Tea,Brewed Green tea,Serenity Green Tea Rg
126,2023-01-03,18:43:34,1,5,Lower Manhattan,6,3.50,Coffee,Gourmet brewed coffee,Ethiopia Rg
127,2023-01-03,09:27:44,1,8,Hell's Kitchen,14,4.25,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
128,2023-01-03,16:06:15,1,5,Lower Manhattan,4,4.50,Coffee,Espresso,Latte
129,2023-01-03,09:53:42,2,8,Hell's Kitchen,1,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm
130,2023-01-03,19:58:38,1,8,Hell's Kitchen,14,4.25,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
130,2023-01-03,19:58:38,1,8,Hell's Kitchen,15,3.50,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Sm
131,2023-01-03,08:12:39,1,5,Lower Manhattan,12,3.75,Bakery,Pastry,Croissant
132,2023-01-03,16:40:06,1,8,Hell's Kitchen,10,2.50,Tea,Brewed Green tea,Serenity Green Tea Rg
132,2023-01-03,16:40:06,1,8,Hell's Kitchen,4,4.50,Coffee,Espresso,Latte
132,2023-01-03,16:40:06,1,8,Hell's Kitchen,6,3.50,Coffee,Gourmet brewed coffee,Ethiopia Rg
133,2023-01-03,09:26:11,2,5,Lower Manhattan,12,3.75,Bakery,Pastry,Croissant
134,2023-01-04,11:58:17,1,5,Lower Manhattan,3,3.75,Coffee,Espresso,Cappuccino
134,2023-01-04,11:58:17,2,5,Lower Manhattan,13,2.50,Bakery,Biscotti,Ginger Biscotti
135,2023-01-04,17:51:07,1,8,Hell's Kitchen,1,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm
136,2023-01-04,17:46:43,1,3,Astoria,19,10.00,Loose Tea,Black tea,Earl Grey Rg
136,2023-01-04,17:46:43,1,3,Astoria,13,2.50,Bakery,Biscotti,Ginger Biscotti
136,2023-01-04,17:46:43,1,3,Astoria,4,4.50,Coffee,Espresso,Latte
136,2023-01-04,17:46:43,1,3,Astoria,12,3.75,Bakery,Pastry,Croissant
137,2023-01-04,08:24:52,1,8,Hell's Kitchen,4,4.50,Coffee,Espresso,Latte
137,2023-01-04,08:24:52,1,8,Hell's Kitchen,10,2.50,Tea,Brewed Green tea,Serenity Green Tea Rg
138,2023-01-04,09:39:14,1,8,Hell's Kitchen,9,3.00,Tea,Brewed herbal tea,Peppermint Lg
138,2023-01-04,09:39:14,1,8,Hell's Kitchen,6,3.50,Coffee,Gourmet brewed coffee,Ethiopia Rg
139,2023-01-04,08:02:19,1,3,Astoria,2,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg
139,2023-01-04,08:02:19,2,3,Astoria,3,3.75,Coffee,Espresso,Cappuccino
139,2023-01-04,08:02:19,1,3,Astoria,7,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
139,2023-01-04,08:02:19,1,3,Astoria,5,2.50,Coffee,Espresso,Espresso Shot
140,2023-01-04,14:09:56,1,8,Hell's Kitchen,2,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg
141,2023-01-04,18:17:02,1,5,Lower Manhattan,3,3.75,Coffee,Espresso,Cappuccino
141,2023-01-04,18:17:02,1,5,Lower Manhattan,6,3.50,Coffee,Gourmet brewed coffee,Ethiopia Rg
142,2023-01-04,09:57:41,1,8,Hell's Kitchen,5,2.50,Coffee,Espresso,Espresso Shot
143,2023-01-04,19:52:29,1,3,Astoria,3,3.75,Coffee,Espresso,Cappuccino
144,2023-01-04,07:21:15,1,3,Astoria,12,3.75,Bakery,Pastry,Croissant
144,2023-01-04,07:21:15,2,3,Astoria,3,3.75,Coffee,Espresso,Cappuccino
144,2023-01-04,07:21:15,1,3,Astoria,14,4.25,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
144,2023-01-04,07:21:15,1,3,Astoria,8,3.00,Tea,Brewed Black tea,English Breakfast Rg
145,2023-01-04,06:54:09,1,8,Hell's Kitchen,7,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
145,2023-01-04,06:54:09,1,8,Hell's Kitchen,13,2.50,Bakery,Biscotti,Ginger Biscotti
145,2023-01-04,06:54:09,1,8,Hell's Kitchen,2,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg
145,2023-01-04,06:54:09,1,8,Hell's Kitchen,14,4.25,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
146,2023-01-04,08:03:08,1,3,Astoria,7,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
146,2023-01-04,08:03:08,1,3,Astoria,12,3.75,Bakery,Pastry,Croissant
147,2023-01-04,12:28:32,1,8,Hell's Kitchen,9,3.00,Tea,Brewed herbal tea,Peppermint Lg
148,2023-01-04,11:29:41,1,8,Hell's Kitchen,1,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm
148,2023-01-04,11:29:41,2,8,Hell's Kitchen,7,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
148,2023-01-04,11:29:41,1,8,Hell's Kitchen,5,2.50,Coffee,Espresso,Espresso Shot
148,2023-01-04,11:29:41,1,8,Hell's Kitchen,11,3.50,Bakery,Scone,Oatmeal Scone
149,2023-01-04,08:08:17,1,8,Hell's Kitchen,8,3.00,Tea,Brewed Black tea,English Breakfast Rg
149,2023-01-04,08:08:17,1,8,Hell's Kitchen,11,3.50,Bakery,Scone,Oatmeal Scone
150,2023-01-04,10:38:27,2,5,Lower Manhattan,11,3.50,Bakery,Scone,Oatmeal Scone
151,2023-01-04,17:35:46,1,8,Hell's Kitchen,5,2.50,Coffee,Espresso,Espresso Shot
151,2023-01-04,17:35:46,1,8,Hell's Kitchen,15,3.50,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Sm
